#,Referencia,Codigo,Marca,Categoria,Material,Precio Unitario Pza,Precio Docena (x12),Stock Actual (Pzas),Tipo Venta BD
560,"TR60032C5","TR60032C5","FAZIO","AROS OPTICOS","","$4.90","$58.80",3,"DOCENA"
561,"TR8210C14","TR8210C14","N/A","N/A","Acetato / Metal","$5.10","$61.20",1,"DOCENA"
562,"TR8283C8","TR8283C8","WEEKEND","AROS OPTICOS","","$5.10","$61.20",1,"DOCENA"
563,"TR87129C3","TR87129C3","N/A","N/A","Acetato / Metal","$6.00","$72.00",4,"DOCENA"
564,"TR87155C1","TR87155C1","N/A","N/A","Acetato / Metal","$5.60","$67.20",6,"DOCENA"
565,"TR87282C1","TR87282C1","N/A","N/A","Acetato / Metal","$6.00","$72.00",5,"DOCENA"
566,"TR87336C4","TR87336C4","N/A","N/A","Acetato / Metal","$6.20","$74.40",6,"DOCENA"
567,"TRAVESIAC1","TRAVESIAC1","N/A","N/A","Acetato / Metal","$9.90","$118.80",1,"DOCENA"
568,"UMBRELLA","UMBRELLA","SIN MARCA","AROS OPTICOS","","$5.50","$66.00",85,"DOCENA"
569,"V27605C3","V27605C3","N/A","N/A","Acetato / Metal","$4.70","$56.40",12,"DOCENA"
570,"V4BLK","V4BLK","SM","CORDONES","","$0.62","$7.44",3498,"DOCENA"
571,"V4BLUE","V4BLUE","SM","CORDONES","","$0.62","$7.44",1979,"DOCENA"
572,"V4COFFEE","V4COFFEE","SM","CORDONES","","$0.62","$7.44",1706,"DOCENA"
573,"V4RED","V4RED","SM","CORDONES","","$0.62","$7.44",352,"DOCENA"
574,"XC84045-2C5","XC84045-2C5","SM","AROS OPTICOS","","$4.50","$54.00",15,"DOCENA"
